				Fahrtenschlüssel	07:05	07:07	07:23	07:25	07:27	07:31	07:33	07:35	07:37	07:39	07:41	07:43	07:48	07:54
				Verkehrsbeschränkung														
				Hinweis	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss	Ss
				Transportgefäßtyp	10	10	10	10	10	30	62	10	31	30	31	42	10	10
50	1099	SWU Betriebshof		97	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
51	1070	Ostpreußenweg		1	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
52	1002	Rathaus Ulm		2	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
53	1765	Hasenweg		1	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
54	1052	Donaustadion		3	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
55	1620	Erenlauh		1	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
56	1323	Gleißelstetten		1	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
57	1390	Kuhberg Schulzentrum		1	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
58	1310	Sonnenstraße		1	    -	    $	    -	    $	    -	    -	    $	    $	    -	    -	    -	    -	    -	    -
59	1008	Hauptbahnhof		2	    -	 07.19	 07.23	    $	 07.27	    -	    $	 07.32	 07.32	 07.35	 07.37	 07.40	 07.48	 07.54
60	1001	Steinerne Brücke		1	    -	    $	    $	 07.27	    $	    -	 07.31	    $	 07.35	    $	    $	    $	    $	    $
61	1002	Rathaus Ulm		1	    -	    $	    $	    $	    $	    -	    $	    $	 07.36	    $	    $	    $	    $	    $
62	1005	Haus der Begegnung		2	    -	    $	    $	    $	    $	    -	    $	    $	 07.37	    $	    $	    $	    $	    $
63	1006	Gänsturm		2	    -	    $	    $	    $	    $	    -	    $	    $	 07.38	    $	    $	    $	    $	    $
64	1049	Congress Centrum		2	    -	    $	    $	    $	    $	    -	    $	    $	 07.39	    $	    $	    $	    $	    $
65	1350	Ehinger Tor		4	    -	 07.22	 07.26	 07.29	 07.30	 07.31	 07.33	 07.35	    -	 07.38	 07.40	 07.43	 07.51	 07.57
66	1392	Am Hochsträß		1	    -	    $	    $	    $	    $	    $	    $	    $	    -	    $	    $	    $	    $	    $
67	1359	Haßlerstraße		2	    -	 07.25	 07.29	 07.32	 07.33	 07.34	 07.36	 07.38	    -	 07.41	 07.43	 07.46	 07.54	 08.00
68	1360	Römerplatz		2	    -	 07.27	 07.31	 07.34	 07.35	 07.36	 07.38	 07.40	    -	 07.43	 07.45	 07.48	 07.56	 08.02
69	1380	Saarlandstraße		2	    -	 07.28	 07.32	 07.35	 07.36	 07.37	 07.39	 07.41	    -	 07.44	 07.46	 07.49	 07.57	 08.03
70	1381	Robert-Dick-Weg		2	    -	 07.29	 07.33	 07.36	 07.37	 07.38	 07.40	 07.42	    -	 07.45	 07.47	 07.50	 07.58	 08.04
71	1382	Egginger Weg		2	    -	 07.30	 07.34	 07.37	 07.38	 07.39	 07.41	 07.43	    -	 07.46	 07.48	 07.51	 07.59	 08.05
72	1390	Kuhberg Schulzentrum		2	    -	 07.33	 07.37	 07.40	 07.41	 07.42	 07.44	 07.46	    -	 07.49	 07.51	 07.54	 08.02	 08.08
73	1392	Am Hochsträß		1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
74	1008	Hauptbahnhof		2	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
75	1380	Saarlandstraße		1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
76	1635	Reutlinger Straße		2	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
77	1257	Söflinger Weinberge		1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
78	1240	Universität Süd		1	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -	    -
