"service_id","date","exception_type"
Ss,20160404,1
Na,20160404,1
0,20160405,1
Ss,20160405,1
Na,20160405,1
0,20160406,1
Ss,20160406,1
Na,20160406,1
0,20160407,1
Ss,20160407,1
Na,20160407,1
0,20160408,1
Ss,20160408,1
Na,20160408,1
Yr,20160408,1
Fa,20160408,1
2,20160409,1
3,20160410,1
Nb,20160410,1
0,20160411,1
Ss,20160411,1
Su,20160411,1
Na,20160411,1
0,20160412,1
Ss,20160412,1
Su,20160412,1
Na,20160412,1
0,20160413,1
Ss,20160413,1
Su,20160413,1
Na,20160413,1
0,20160414,1
Ss,20160414,1
Su,20160414,1
Na,20160414,1
0,20160415,1
Ss,20160415,1
Su,20160415,1
Na,20160415,1
Yr,20160415,1
Fa,20160415,1
2,20160416,1
3,20160417,1
Nb,20160417,1
0,20160418,1
Ss,20160418,1
Su,20160418,1
Na,20160418,1
0,20160419,1
Ss,20160419,1
Su,20160419,1
Na,20160419,1
0,20160420,1
Ss,20160420,1
Su,20160420,1
Na,20160420,1
0,20160421,1
Ss,20160421,1
Su,20160421,1
Na,20160421,1
0,20160422,1
Ss,20160422,1
Su,20160422,1
Na,20160422,1
Yr,20160422,1
Fa,20160422,1
2,20160423,1
3,20160424,1
Nb,20160424,1
0,20160425,1
Ss,20160425,1
Su,20160425,1
Na,20160425,1
0,20160426,1
Ss,20160426,1
Su,20160426,1
Na,20160426,1
0,20160427,1
Ss,20160427,1
Su,20160427,1
Na,20160427,1
0,20160428,1
Ss,20160428,1
Su,20160428,1
Na,20160428,1
0,20160429,1
Ss,20160429,1
Su,20160429,1
Na,20160429,1
Yr,20160429,1
Fa,20160429,1
2,20160430,1
3,20160501,1
Nb,20160501,1
0,20160502,1
Ss,20160502,1
Su,20160502,1
Na,20160502,1
0,20160503,1
Ss,20160503,1
Su,20160503,1
Na,20160503,1
0,20160504,1
Ss,20160504,1
Su,20160504,1
Na,20160504,1
Yr,20160504,1
Fb,20160504,1
Fa,20160504,1
3,20160505,1
Nb,20160505,1
0,20160506,1
Sf,20160506,1
Su,20160506,1
Na,20160506,1
Yr,20160506,1
Fa,20160506,1
2,20160507,1
3,20160508,1
Nb,20160508,1
0,20160509,1
Ss,20160509,1
Su,20160509,1
Na,20160509,1
0,20160510,1
Ss,20160510,1
Su,20160510,1
Na,20160510,1
0,20160511,1
Ss,20160511,1
Su,20160511,1
Na,20160511,1
0,20160512,1
Ss,20160512,1
Su,20160512,1
Na,20160512,1
0,20160513,1
Ss,20160513,1
Su,20160513,1
Na,20160513,1
Yr,20160513,1
Fa,20160513,1
2,20160514,1
3,20160515,1
Ys,20160515,1
3,20160516,1
Nb,20160516,1
0,20160517,1
Sf,20160517,1
Su,20160517,1
Na,20160517,1
0,20160518,1
Sf,20160518,1
Su,20160518,1
Na,20160518,1
0,20160519,1
Sf,20160519,1
Su,20160519,1
Na,20160519,1
0,20160520,1
Sf,20160520,1
Su,20160520,1
Na,20160520,1
Yr,20160520,1
Fa,20160520,1
2,20160521,1
3,20160522,1
Nb,20160522,1
0,20160523,1
Sf,20160523,1
Su,20160523,1
Na,20160523,1
0,20160524,1
Sf,20160524,1
Su,20160524,1
Na,20160524,1
0,20160525,1
Sf,20160525,1
Su,20160525,1
Na,20160525,1
Yr,20160525,1
Fb,20160525,1
Fa,20160525,1
3,20160526,1
Nb,20160526,1
0,20160527,1
Sf,20160527,1
Su,20160527,1
Na,20160527,1
Yr,20160527,1
Fa,20160527,1
2,20160528,1
3,20160529,1
Nb,20160529,1
0,20160530,1
Ss,20160530,1
Su,20160530,1
Na,20160530,1
0,20160531,1
Ss,20160531,1
Su,20160531,1
Na,20160531,1
0,20160601,1
Ss,20160601,1
Su,20160601,1
Na,20160601,1
0,20160602,1
Ss,20160602,1
Su,20160602,1
Na,20160602,1
0,20160603,1
Ss,20160603,1
Su,20160603,1
Na,20160603,1
Yr,20160603,1
Fa,20160603,1
2,20160604,1
3,20160605,1
Nb,20160605,1
0,20160606,1
Ss,20160606,1
Su,20160606,1
Na,20160606,1
0,20160607,1
Ss,20160607,1
Su,20160607,1
Na,20160607,1
0,20160608,1
Ss,20160608,1
Su,20160608,1
Na,20160608,1
0,20160609,1
Ss,20160609,1
Su,20160609,1
Na,20160609,1
0,20160610,1
Ss,20160610,1
Su,20160610,1
Na,20160610,1
Yr,20160610,1
Fa,20160610,1
2,20160611,1
3,20160612,1
Nb,20160612,1
0,20160613,1
Ss,20160613,1
Su,20160613,1
Na,20160613,1
0,20160614,1
Ss,20160614,1
Su,20160614,1
Na,20160614,1
0,20160615,1
Ss,20160615,1
Su,20160615,1
Na,20160615,1
0,20160616,1
Ss,20160616,1
Su,20160616,1
Na,20160616,1
0,20160617,1
Ss,20160617,1
Su,20160617,1
Na,20160617,1
Yr,20160617,1
Fa,20160617,1
2,20160618,1
3,20160619,1
Nb,20160619,1
0,20160620,1
Ss,20160620,1
Su,20160620,1
Na,20160620,1
0,20160621,1
Ss,20160621,1
Su,20160621,1
Na,20160621,1
0,20160622,1
Ss,20160622,1
Su,20160622,1
Na,20160622,1
0,20160623,1
Ss,20160623,1
Su,20160623,1
Na,20160623,1
0,20160624,1
Ss,20160624,1
Su,20160624,1
Na,20160624,1
Yr,20160624,1
Fa,20160624,1
2,20160625,1
3,20160626,1
Nb,20160626,1
0,20160627,1
Ss,20160627,1
Su,20160627,1
Na,20160627,1
0,20160628,1
Ss,20160628,1
Su,20160628,1
Na,20160628,1
0,20160629,1
Ss,20160629,1
Su,20160629,1
Na,20160629,1
0,20160630,1
Ss,20160630,1
Su,20160630,1
Na,20160630,1
0,20160701,1
Ss,20160701,1
Su,20160701,1
Na,20160701,1
Yr,20160701,1
Fa,20160701,1
2,20160702,1
3,20160703,1
Nb,20160703,1
0,20160704,1
Ss,20160704,1
Su,20160704,1
Na,20160704,1
0,20160705,1
Ss,20160705,1
Su,20160705,1
Na,20160705,1
0,20160706,1
Ss,20160706,1
Su,20160706,1
Na,20160706,1
0,20160707,1
Ss,20160707,1
Su,20160707,1
Na,20160707,1
0,20160708,1
Ss,20160708,1
Su,20160708,1
Na,20160708,1
Yr,20160708,1
Fa,20160708,1
2,20160709,1
3,20160710,1
Nb,20160710,1
0,20160711,1
Ss,20160711,1
Su,20160711,1
Na,20160711,1
0,20160712,1
Ss,20160712,1
Su,20160712,1
Na,20160712,1
0,20160713,1
Ss,20160713,1
Su,20160713,1
Na,20160713,1
0,20160714,1
Ss,20160714,1
Su,20160714,1
Na,20160714,1
0,20160715,1
Ss,20160715,1
Su,20160715,1
Na,20160715,1
Yr,20160715,1
Fa,20160715,1
2,20160716,1
3,20160717,1
Nb,20160717,1
0,20160719,1
Ss,20160719,1
Na,20160719,1
0,20160720,1
Ss,20160720,1
Na,20160720,1
0,20160721,1
Ss,20160721,1
Na,20160721,1
0,20160722,1
Ss,20160722,1
Na,20160722,1
Yr,20160722,1
Fa,20160722,1
2,20160723,1
3,20160724,1
Nb,20160724,1
0,20160725,1
Ss,20160725,1
Na,20160725,1
0,20160726,1
Ss,20160726,1
Na,20160726,1
0,20160727,1
Ss,20160727,1
Na,20160727,1
0,20160728,1
Sf,20160728,1
Na,20160728,1
0,20160729,1
Sf,20160729,1
Na,20160729,1
Yr,20160729,1
Fa,20160729,1
2,20160730,1
3,20160731,1
Nb,20160731,1
0,20160801,1
Sf,20160801,1
Na,20160801,1
0,20160802,1
Sf,20160802,1
Na,20160802,1
0,20160803,1
Sf,20160803,1
Na,20160803,1
0,20160804,1
Sf,20160804,1
Na,20160804,1
0,20160805,1
Sf,20160805,1
Na,20160805,1
Yr,20160805,1
Fa,20160805,1
2,20160806,1
